,text,Numbers_of_product,Negative,Null,Positive,Excellent
0,"['this', 'would', 'be', 'a', 'great', 'mouse', 'if', 'it', 'didnt', 'have', 'numerous', 'bright', 'leds', 'that', 'constantly', 'flash', 'and', 'generally', 'annoy', 'me', 'for', 'no', 'reason']",1,0,0,1,0
1,"['this', 'item', 'it', 'put', 'together', 'well', 'but', 'the', 'ball', 'only', 'lasts', 'for', 'about', '3', 'to', '6', 'months', 'before', 'it', 'stops', 'functioning', 'properly']",1,0,1,0,0
2,"['i', 'bought', 'two', 'of', 'these', 'cards', 'for', 'two', 'different', 'computers', 'and', 'both', 'were', 'damaged', 'the', 'quality', 'of', 'these', 'cards', 'is', 'not', 'good']",2,0,0,1,0
3,"['this', 'cable', '16', 'and', 'price', 'tell', 'you', 'what', 'you', 'buying', 'trust', 'me', 'i', 'use', 'this', 'cable', '1', 'day', 'and', 'its', 'brook']",1,0,1,0,0
4,"['it', 'did', 'not', 'work', 'on', 'my', '2012', 'tundra', 'and', 'clarion', 'nx702', 'i', 'tried', 'all', 'setting', 'reprogramming', 'with', 'no', 'luck']",1,0,1,0,0
5,"['never', 'had', 'the', 'experience', 'to', 'fully', 'enjoy', 'the', 'machinei', 'seen', 'alot', 'of', 'great', 'reviews', 'but', 'i', 'didnt', 'get', 'the', 'chance', 'to', 'experience']",2,0,0,1,0
6,"['item', 'does', 'not', 'workmy', 'older', 'lcd', 'tv', 'has', 'only', 'one', 'hdmi', 'inputi', 'tried', 'the', 'auto', 'switch', 'no', 'video', 'or', 'audio']",1,0,1,0,0
7,"['i', 'bought', 'this', 'to', 'use', 'with', 'my', '2011', 'imac', 'it', 'would', 'not', 'keep', 'connected', 'to', 'the', 'bluetooth', 'i', 'returned', 'it', 'with', 'no', 'problems']",1,0,1,0,0
8,"['every', 'one', 'i', 'tried', 'were', 'coasters', 'will', 'not', 'buy', 'again', 'i', 'do', 'not', 'recommend', 'these', 'do', 'not', 'buy', 'them', 'i', 'bought', 'the', 'ridata']",1,0,1,0,0
9,"['they', 'cant', 'be', 'bothered', 'to', 'include', 'good', 'wall', 'anchors', 'so', 'just', 'imagine', 'what', 'junk', 'the', 'rest', 'of', 'the', 'mount', 'is']",1,0,0,1,0
10,"['you', 'get', 'what', 'you', 'pay', 'for', 'with', 'this', 'being', 'extremely', 'fragile', 'i', 'broke', 'this', 'one', 'within', 'a', 'week', 'of', 'receiving']",1,0,1,0,0
11,"['item', 'doesnt', 'work', 'at', 'all', 'it', 'was', 'dead', 'on', 'arrival', 'i', 'suggest', 'you', 'not', 'waste', 'your', 'time', 'and', 'money', 'with', 'this', 'seller']",1,0,1,0,0
12,"['i', 'bought', 'this', 'adapter', 'to', 'attach', 'to', 'an', 'fm', 'modulator', 'for', 'my', 'ipod', 'no', 'sound', 'came', 'out', 'of', 'the', 'left', 'speakers', 'in', 'my', 'car']",1,0,1,0,0
13,"['is', 'not', 'working', 'im', 'seating', 'only', '4', 'feet', 'from', 'my', 'laptop', 'or', 'tv', 'and', 'not', 'working', 'i', 'tried', 'many', 'ways', 'and', 'nothing']",1,0,1,0,0
14,"['if', 'you', 'cant', 'charge', 'through', 'the', 'keyboard', 'you', 'must', 'then', 'detach', 'and', 'charge', 'the', 'tablet', 'thats', 'a', 'killer', 'for', 'me']",1,0,1,0,0
15,"['the', 'rubber', 'part', 'is', 'very', 'flimsy', 'and', 'degrades', 'quite', 'fast', 'you', 'are', 'good', 'off', 'having', 'your', 'bold', '9900', 'naked', 'dont', 'buy']",1,0,1,0,0
16,"['quality', 'is', 'sub', 'par', 'at', 'good', 'cables', 'do', 'not', 'fit', 'well', 'and', 'post', 'clamp', 'comes', 'loose', 'with', 'little', 'effort', 'look', 'elsewhere']",2,0,0,1,0
17,"['couldnt', 'get', 'the', 'arduino', 'ide', 'to', 'recognize', 'the', 'device', 'picked', 'up', 'the', 'pololu', 'isp', 'instead', 'works', 'great', 'with', 'my', 'custom', 'pcbs']",1,0,1,0,0
18,"['device', 'will', 'not', 'hold', 'its', 'battery', 'properly', 'so', 'the', 'device', 'wont', 'charge', 'also', 'very', 'uncomfortable', 'to', 'hold', 'in', 'the', 'hand']",1,0,1,0,0
19,"['was', 'not', 'able', 'to', 'use', 'this', 'as', 'intended', 'it', 'just', 'doesnt', 'share', 'usb', 'connections', 'save', 'your', 'money', 'do', 'not', 'recommend']",1,0,1,0,0
20,"['i', 'hate', 'it', 'i', 'hate', 'it', 'i', 'hate', 'it', 'never', 'buying', 'from', 'this', 'guys', 'again', 'no', 'way', 'no', 'way', 'ok']",1,0,1,0,0
21,"['a', 'cheap', 'way', 'of', 'trying', 'to', 'take', 'macro', 'photos', 'i', 'tried', 'it', 'not', 'impressed', 'so', 'i', 'threw', 'it', 'away']",1,0,1,0,0
22,"['the', 'item', 'was', 'broken', 'so', 'i', 'tossed', 'in', 'the', 'trash', 'did', 'not', 'pay', 'much', 'for', 'it', 'should', 'of', 'not', 'been', 'broken']",1,0,1,0,0
23,"['the', 'title', 'says', 'it', 'all', 'did', 'not', 'work', 'with', 'my', 'ipad', 'mini', 'ended', 'up', 'getting', 'the', 'expensive', 'apple', 'one', 'but', 'it', 'works']",1,0,1,0,0
24,"['batteries', 'are', 'right', 'but', 'charger', 'is', 'wrong', 'it', 'is', 'not', 'for', 'those', 'batteries', 'i', 'am', 'going', 'to', 'throw', 'its', 'away']",1,0,1,0,0
25,"['the', 'product', 'has', 'fallen', 'not', 'acceptable', 'my', 'old', 'router', 'is', 'but', 'consistent', 'that', 'this', 'sadly', 'i', 'am', 'not', 'satisfied', 'with', 'the', 'product']",1,0,1,0,0
26,"['i', 'buy', 'this', 'product', 'because', 'i', 'think', 'it', 'work', 'on', 'my', 'phone', 'but', 'not', 'work', 'so', 'i', 'think', 'it', 'not', 'make', 'for', 'my', 'phone']",1,0,1,0,0
27,"['bought', '10', 'of', 'these', 'had', 'to', 'work', 'very', 'hard', 'to', 'get', 'the', 'buttons', 'working', 'finally', 'got', 'it', 'working', 'but', 'not', 'sure', 'for', 'how', 'long']",1,0,1,0,0
28,"['its', 'not', 'that', 'it', 'didnt', 'work', 'it', 'was', 'my', 'mistake', 'that', 'this', 'was', 'a', 'used', 'unit', 'so', 'i', 'returned', 'it']",1,0,1,0,0
29,"['not', 'sure', 'what', 'new', 'technology', 'these', 'speed', 'trap', 'guys', 'are', 'using', 'but', 'the', 'radar', 'does', 'not', 'pick', 'it', 'up', 'at', 'all']",1,0,1,0,0
30,"['good', 'price', 'served', 'its', 'purpose', 'easily', 'damage', 'delivered', 'in', 'a', 'timely', 'fashion', 'does', 'an', 'ok', 'job', 'as', 'protection', 'doesnt', 'make', 'ipad', 'feel', 'bulky']",2,0,0,0,1
31,"['great', 'design', 'but', 'it', 'didnt', 'work', 'as', 'described', 'i', 'read', 'quite', 'a', 'few', 'reviews', 'before', 'purchase', 'but', 'took', 'my', 'chances']",1,0,0,1,0
32,"['my', 'display', 'kept', 'going', 'dark', 'after', 'bootup', 'never', 'resolved', 'the', 'problem', 'have', 'not', 'tried', 'the', 'adapter', 'in', 'other', 'applications', 'yet']",1,0,1,0,0
33,"['i', 'sent', 'it', 'back', 'because', 'i', 'ended', 'up', 'getting', 'a', 'good', 'access', 'point', 'to', 'replace', 'it', 'still', 'it', 'did', 'what', 'i', 'needed']",1,0,0,1,0
34,"['i', 'like', 'the', 'idea', 'but', 'this', 'is', 'cheap', 'material', 'and', 'poorly', 'made', 'it', 'is', 'also', 'difficult', 'to', 'keep', 'clean', 'would', 'not', 'recommend']",1,0,1,0,0
35,"['i', 'used', 'this', 'item', 'for', 'my', 'xbox360', 'but', 'did', 'not', 'notice', 'a', 'change', 'in', 'clarity', 'or', 'any', 'wayshape', 'or', 'form']",1,0,1,0,0
36,"['flimsy', 'and', 'uncomfortable', 'to', 'use', 'when', 'reading', 'looking', 'for', 'a', 'leather', 'case', 'instead', 'for', 'the', 'price', 'its', 'good', 'than', 'no', 'protection', 'at', 'all']",1,0,0,1,0
37,"['bad', 'quality', 'crimps', 'worked', 'but', 'had', 'to', 'recrimp', 'item', 'thin', 'wire', 'and', 'plug', 'fit', 'too', 'tight', 'finally', 'got', 'it', 'seated']",1,1,0,0,0
38,"['had', 'to', 'return', 'this', 'productit', 'cause', 'my', 'network', 'and', 'connections', 'to', 'lagdidnt', 'work', 'well', 'for', 'me', 'wouldnt', 'recommend', 'needs', 'work']",1,0,1,0,0
39,"['it', 'only', 'works', 'with', 'some', 'beats', 'its', 'ok', 'to', 'just', 'doesnt', 'really', 'fit', 'my', 'product', 'of', 'beats', 'which', 'made', 'me', 'disappointing']",1,0,1,0,0
40,"['not', 'exactly', 'what', 'i', 'thought', 'they', 'would', 'be', 'but', 'it', 'works', 'guess', 'i', 'should', 'have', 'done', 'more', 'research', 'before', 'buying']",1,0,1,0,0
41,"['this', 'charger', 'was', 'purchased', 'to', 'replace', 'my', 'acer', 'charger', 'and', 'it', 'works', 'perfectly', 'it', 'meets', 'voltage', 'requirements', 'for', 'my', 'device', 'and', 'charges', 'it', 'rapidly']",1,0,1,0,0
42,"['this', 'is', 'not', 'a', 'high', 'end', 'headset', 'but', 'very', 'good', 'one', 'at', 'resonable', 'price', 'worth', 'recomending', 'works', 'nicely', 'with', 'iphone']",1,0,1,0,0
43,"['no', 'problem', 'with', 'this', 'item', 'but', 'the', 'price', 'keeps', 'dropping', 'it', 'was', '145', 'now', 'in', 'the', '120s', 'it', 'will', 'fall', 'some', 'more', 'just', 'wait']",1,0,1,0,0
44,"['worked', 'ok', 'but', 'who', 'needs', 'them', 'anymore', 'technology', 'has', 'made', 'them', 'pretty', 'much', 'obsolete', 'therefor', 'i', 'dont', 'recommend', 'it', 'anymore']",1,0,1,0,0
45,"['it', 'fits', 'well', 'enough', 'and', 'does', 'offer', 'some', 'protection', 'against', 'the', 'elements', 'but', 'was', 'hoping', 'for', 'more', 'guess', 'it', 'was', 'ok', 'for', 'the', 'price']",1,0,1,0,0
46,"['needed', 'a', 'strap', 'and', 'this', 'was', 'great', 'color', 'ok', 'size', 'was', 'ok', 'matched', 'my', 'case', 'was', 'a', 'fair', 'price', 'so', 'i', 'bought', 'it']",2,0,0,0,1
47,"['it', 'is', 'a', 'neat', 'product', 'but', 'it', 'tends', 'to', 'heat', 'up', 'and', 'then', 'get', 'a', 'little', 'distortedbut', 'not', 'bad', 'over', 'all']",1,0,1,0,0
48,"['feels', 'really', 'cheap', 'because', 'it', 'is', 'but', 'gets', 'the', 'job', 'done', 'it', 'charges', 'my', 'laptop', 'fine', 'so', 'not', 'much', 'else', 'to', 'say']",1,0,1,0,0
49,"['arrived', 'on', 'time', 'did', 'not', 'use', 'returned', 'to', 'seller', 'since', 'i', 'subsequently', 'purchased', 'the', 'same', 'booster', 'with', '4', 'output', 'ports']",1,0,1,0,0
50,"['good', 'price', 'just', 'for', 'something', 'to', 'cover', 'your', 'tableti', 'think', 'i', 'might', 'spend', 'a', 'little', 'more', 'money', 'to', 'get', 'something', 'nicer', 'the', 'next', 'time']",1,0,0,1,0
51,"['a', 'good', 'cable', 'that', 'works', 'not', 'a', 'whole', 'lot', 'to', 'say', 'about', 'it', 'because', 'it', 'is', 'was', 'as', 'it', 'was', 'intended']",1,0,0,1,0
52,"['this', 'thing', 'is', 'loud', 'when', 'it', 'is', 'spinning', 'full', 'speed', 'you', 'would', 'think', 'this', 'day', 'in', 'age', 'they', 'could', 'make', 'a', 'quiet', 'drive']",1,0,1,0,0
53,"['our', 'tv', 'is', 'at', 'the', 'larger', 'end', 'of', 'the', 'size', 'range', 'so', 'the', 'mounting', 'was', 'not', 'that', 'easy', 'but', 'it', 'does', 'the', 'job']",1,0,1,0,0
54,"['plugged', 'into', 'panasonic', 'tv', 'and', 'even', 'my', 'nontechsavvy', 'sisterinlaw', 'was', 'able', 'to', 'get', 'it', 'working', 'now', 'can', 'stream', 'netflix', 'directly', 'to', 'tv']",1,0,1,0,0
55,"['torn', 'on', 'whether', 'the', 'flashing', 'red', 'light', 'is', 'a', 'good', 'or', 'bad', 'thing', 'i', 'saw', 'some', 'folks', 'disabled', 'it', 'i', 'left', 'mine', 'on']",1,1,0,0,0
56,"['this', 'is', 'a', 'great', 'product', 'loud', 'sound', 'bluetooth', 'is', 'great', 'you', 'will', 'probably', 'never', 'buy', 'another', 'portable', 'speaker', 'again']",1,0,0,1,0
57,"['its', 'a', 'good', 'all', 'around', 'keyboard', 'it', 'is', 'not', 'nearly', 'as', 'great', 'as', 'a', 'g15', 'but', 'then', 'its', 'half', 'the', 'cost']",1,0,1,0,0
58,"['adds', 'a', 'bit', 'of', 'bulk', 'to', 'the', '10', 'but', 'it', 'serves', 'its', 'purpose', 'stands', 'up', 'nicely', 'and', 'is', 'a', 'good', 'imitation', 'of', 'leather']",1,0,0,1,0
59,"['it', 'is', 'a', 'very', 'practical', 'and', 'handy', 'collection', 'of', 'tools', 'in', 'a', 'convenient', 'case', 'which', 'served', 'my', 'need', 'in', 'good', 'order']",1,0,0,1,0
60,"['the', 'length', 'was', 'exactly', 'what', 'we', 'needed', 'because', 'our', 'outlets', 'are', 'not', 'ideally', 'place', 'and', 'it', 'works', 'great', 'so', 'far']",1,0,1,0,0
61,"['charger', 'and', 'batteries', 'work', 'great', 'battery', 'life', 'isnt', 'what', 'the', 'oe', 'gopro', 'is', 'but', 'shot', 'for', 'the', 'price', 'its', 'awful']",1,0,1,0,0
62,"['works', 'great', 'but', 'i', 'had', 'to', 'buy', 'a', 'player', 'to', 'go', 'with', 'iti', 'travel', 'a', 'lot', 'and', 'it', 'is', 'small', 'and', 'confortable']",1,0,1,0,0
63,"['item', 'works', 'as', 'advertised', 'it', 'was', 'an', 'easy', 'installation', 'would', 'recommend', 'it', 'to', 'anyone', 'needing', 'a', 'sensor', 'of', 'this', 'kind']",1,0,1,0,0
64,"['this', 'item', 'works', 'great', 'for', 'a', 'office', 'that', 'you', 'want', 'to', 'project', 'anything', 'that', 'has', 'an', 'hdmi', 'onto', 'your', 'screen', 'i', 'would', 'recommend']",1,0,0,1,0
65,"['great', 'for', 'the', 'value', 'i', 'have', 'been', 'using', 'these', 'for', 'months', 'now', 'and', 'really', 'like', 'them', 'i', 'would', 'suggest', 'them']",1,0,1,0,0
66,"['good', 'price', 'for', '100', 'ties', 'straighten', 'up', 'your', 'whole', 'house', 'in', 'one', 'fell', 'swoop', 'width', 'is', 'a', 'little', 'narrow', 'for', 'heavier', 'duty', 'cable', 'though']",1,0,0,1,0
67,"['the', 'ipad', 'mini', 'lightweight', 'hard', 'shell', 'case', 'with', 'built', 'in', 'stand', 'was', 'exactly', 'what', 'the', 'vendor', 'stated', 'and', 'fits', 'and', 'works', 'perfectly']",1,0,1,0,0
68,"['installed', 'the', '2', 'gig', 'chip', 'into', 'a', 'lenovo', 't510', 'it', 'was', 'easy', 'to', 'install', 'and', 'worked', 'fine', 'on', 'start', 'up', 'no', 'issues', 'at', 'all']",1,0,1,0,0
69,"['very', 'sturdy', 'and', 'sits', 'nicely', 'on', 'the', 'wall', 'great', 'price', 'and', 'had', 'no', 'trouble', 'installing', 'this', 'on', 'the', 'wall', 'no', 'problems', 'so', 'far']",1,0,0,1,0
70,"['works', 'as', 'advertised', 'they', 'should', 'make', 'one', 'hd', 'but', 'for', 'now', 'is', 'good', 'enough', 'for', 'the', 'price', 'is', 'good', 'enough']",1,0,0,1,0
71,"['the', 'product', 'arrived', 'on', 'time', 'and', 'in', 'good', 'condition', 'easy', 'to', 'setup', 'and', 'install', 'and', 'works', 'just', 'fine', 'i', 'would', 'buy', 'it', 'again']",2,0,0,0,1
72,"['this', 'car', 'charger', 'works', 'very', 'well', 'and', 'i', 'like', 'to', 'have', 'long', 'sentences', 'because', 'there', 'is', 'a', 'word', 'requirement', 'for', 'these', 'reviews']",1,0,1,0,0
73,"['just', 'a', 'basic', 'ethernet', 'cord', 'it', 'works', 'only', 'con', 'is', 'that', 'it', 'states', '50', 'feet', 'but', 'it', 'is', 'really', '15', 'meters49', 'feet']",1,0,1,0,0
74,"['it', 'works', 'not', 'sure', 'what', 'else', 'i', 'could', 'say', 'about', 'this', 'besides', 'it', 'is', 'what', 'is', 'expected', 'three', 'more', 'words']",1,0,1,0,0
75,"['love', 'this', 'flash', 'unit', 'easy', 'to', 'use', 'and', 'understand', 'i', 'have', 'two', 'units', 'that', 'i', 'use', 'at', 'times', 'and', 'both', 'perform', 'flawlessly']",1,0,1,0,0
76,"['this', 'mount', 'is', 'great', 'for', 'small', 'cameras', 'but', 'can', 'bend', 'and', 'flex', 'if', 'too', 'much', 'weight', 'id', 'mounted', 'to', 'it']",1,0,0,1,0
77,"['this', 'was', 'the', 'good', 'card', 'for', 'my', 'galaxy', 's5', 'i', 'have', 'tons', 'of', 'room', 'for', 'storage', 'and', 'it', 'works', 'flawlessly', 'with', 'the', 'phone']",1,0,0,1,0
78,"['not', 'an', 'hp', 'product', 'but', 'seemed', 'ok', 'dont', 'know', 'if', 'the', 'cord', 'was', 'responsible', 'for', 'the', 'computer', 'frying', 'within', '2', 'weeks', 'or', 'not']",1,0,0,1,0
79,"['what', 'can', 'i', 'really', 'say', 'is', 'legacy', 'ram', 'to', 'give', 'a', 'little', 'speed', 'boost', 'to', 'an', 'older', 'system', 'it', 'is', 'what', 'it', 'is']",1,0,1,0,0
80,"['works', 'great', 'and', 'does', 'what', 'i', 'need', 'it', 'to', 'do', 'i', 'would', 'recommended', 'this', 'produced', 'for', 'anyone', 'who', 'is', 'looking', 'at', 'buying', 'this', 'product']",1,0,1,0,0
81,"['go', 'enough', 'memory', 'really', 'nothing', 'more', 'to', 'say', 'it', 'has', 'a', 'great', 'color', 'to', 'it', 'to', 'help', 'with', 'any', 'discoloration']",1,0,0,1,0
82,"['the', 'product', 'seems', 'well', 'finished', 'and', 'it', 'works', 'for', 'this', 'low', 'price', 'it', 'does', 'what', 'a', 'higher', 'end', 'price', 'cable', 'will', 'do']",1,0,1,0,0
83,"['this', 'is', 'a', 'great', 'update', 'from', 'the', 'previous', 'version', 'of', 'this', 'product', 'this', 'is', 'becoming', 'an', 'essential', 'part', 'of', 'my', 'business', 'life']",1,0,0,1,0
84,"['first', 'time', 'didnt', 'work', 'so', 'sent', 'it', 'back', 'and', 'got', 'new', 'one', 'but', 'love', 'the', 'surfs', 'up', 'sound', 'so', 'realistic']",1,0,1,0,0
85,"['yes', 'i', 'know', 'this', 'camera', 'it', 'is', 'not', 'anymore', 'on', 'sale', 'but', 'i', 'can', 'say', 'that', 'is', 'a', 'good', 'camera', 'i', 'love', 'it']",1,0,0,1,0
86,"['good', 'quality', 'light', 'stands', 'very', 'sturdy', 'will', 'work', 'well', 'outside', 'even', 'with', 'wind', 'good', 'price', 'especially', 'since', 'you', 'get', 'two']",2,0,0,0,1
87,"['i', 'needed', 'this', 'to', 'cord', 'for', 'my', 'laptop', 'so', 'that', 'i', 'could', 'watch', 'my', 'movies', 'on', 'my', 'hd', 'tv', 'it', 'works', 'good']",1,0,1,0,0
88,"['nexus', '7', 'feels', 'really', 'secure', 'and', 'well', 'protected', 'in', 'this', 'case', 'easy', 'to', 'hold', 'in', 'one', 'hand', 'would', 'definitely', 'recommend']",1,0,1,0,0
89,"['great', 'sound', 'stays', 'on', 'my', 'head', 'during', 'workouts', 'love', 'the', 'ability', 'to', 'adjust', 'the', 'volume', 'good', 'workout', 'headphones', 'ive', 'owned']",2,0,0,0,1
90,"['works', 'really', 'well', 'on', 'olympus', 'epl2', 'quick', 'attach', 'simply', 'adjust', 'and', 'use', 'aperature', 'mode', 'remember', 'focus', 'is', 'manual', 'mount', 'very', 'well', 'made']",1,0,1,0,0
91,"['easy', 'installation', 'never', 'dropped', 'the', 'signal', 'great', 'router', 'great', 'range', 'much', 'good', 'then', 'the', 'dlink', 'i', 'replaced', '3', 'times', 'recommend']",2,0,0,0,1
92,"['had', 'this', 'for', '3', 'years', 'still', 'works', 'great', 'both', 'reads', 'and', 'writes', 'are', 'fast', 'no', 'complaints', 'would', 'definitely', 'buy', 'again']",2,0,0,1,0
93,"['very', 'good', 'quality', 'and', 'works', 'perfectly', 'use', 'it', 'with', 'my', 'lg', 'optimus', 'g', 'pro', 'phone', 'and', 'have', 'nothing', 'to', 'say', 'other', 'than', 'kudos']",1,0,0,1,0
94,"['works', 'right', 'out', 'of', 'the', 'box', 'with', 'no', 'issues', 'not', 'complicated', 'in', 'the', 'least', 'would', 'suggest', 'this', 'product', 'to', 'anyone']",1,0,1,0,0
95,"['very', 'good', 'camera', 'clear', 'viewing', 'and', 'its', 'not', 'a', 'fisheye', 'view', 'which', 'is', 'good', 'instructions', 'were', 'very', 'good', 'and', 'easy']",3,0,0,0,1
96,"['battery', 'works', 'wonderfully', 'my', 'daughters', 'laptop', 'was', 'virtually', 'unuasable', 'before', 'and', 'continually', 'turned', 'off', 'this', 'battery', 'has', 'made', 'it', 'usable', 'for', 'her', 'again']",1,0,1,0,0
97,"['i', 'purchased', 'this', 'charger', 'as', 'a', 'spare', 'for', 'my', 'laptop', 'i', 'use', 'it', 'in', 'two', 'locations', 'to', 'keep', 'my', 'laptop', 'charged']",1,0,1,0,0
98,"['the', 'card', 'was', 'compatible', 'with', 'a', 'picture', 'frame', 'i', 'ordered', 'and', 'worked', 'without', 'any', 'problems', 'the', 'price', 'was', 'great', 'and', 'i', 'would', 'purchase', 'again']",1,0,0,1,0
99,"['its', 'an', 'sdhc', 'card', 'its', 'class', '10', 'it', 'works', 'fine', 'what', 'more', 'do', 'you', 'want', 'the', 'nofrustration', 'packaging', 'is', 'great']",1,0,0,1,0
100,"['this', 'was', 'a', 'very', 'mixed', 'bag', 'the', 'camera', 'is', 'great', 'on', 'the', 'other', 'hand', 'the', 'battery', 'was', 'terrible', 'not', 'sure', 'the', 'i', 'would', 'recommend…']",2,0,1,0,0
101,"['couldn', '’', 't', 'keep', 'it', 'alive', 'the', 'battery', 'was', 'terrible', 'on', 'the', 'other', 'hand', 'the', 'camera', 'was', 'great', 'on', 'the', 'few', 'days', 'i', 'was', 'able', 'to', 'keep', 'it', 'alive', 'i', 'enjoyed', 'it']",2,0,1,0,0
102,"['the', 'camera', 'is', 'good', 'on', 'the', 'other', 'hand', 'the', 'battery', 'was', 'bad', 'why', 'would', 'people', 'do', 'this', 'i', 'give', 'up']",2,0,1,0,0
103,"['why', 'why', 'why', 'the', 'battery', 'was', 'bad', 'on', 'the', 'other', 'hand', 'the', 'camera', 'was', 'good', 'not', 'sure', 'that', 'i', 'would', 'recommend…']",2,0,1,0,0
104,"['couldn', '’', 't', 'keep', 'it', 'alive', 'the', 'camera', 'is', 'good', 'on', 'the', 'other', 'hand', 'the', 'battery', 'was', 'bad', 'on', 'the', 'few', 'days', 'i', 'was', 'able', 'to', 'keep', 'it', 'alive', 'i', 'enjoyed', 'it']",2,0,1,0,0
105,"['buy', 'at', 'your', 'own', 'risk', 'the', 'battery', 'was', 'bad', 'on', 'the', 'other', 'hand', 'the', 'camera', 'was', 'good', 'if', 'only', 'there', 'were', 'some', 'way', 'to', 'get', 'this', 'right']",2,0,1,0,0
106,"['the', 'camera', 'is', 'ok', 'on', 'the', 'other', 'hand', 'the', 'battery', 'was', 'awful', 'on', 'the', 'few', 'days', 'i', 'was', 'able', 'to', 'keep', 'it', 'alive', 'i', 'enjoyed', 'it']",1,1,0,0,0
107,"['the', 'battery', 'was', 'awful', 'on', 'the', 'other', 'hand', 'the', 'camera', 'was', 'ok', 'why', 'would', 'people', 'do', 'this', 'i', 'give', 'up']",2,0,1,0,0
108,"['the', 'camera', 'is', 'fine', 'on', 'the', 'other', 'hand', 'the', 'battery', 'was', 'disappointing']",2,0,1,0,0
109,"['the', 'battery', 'was', 'disappointing', 'on', 'the', 'other', 'hand', 'the', 'camera', 'was', 'fine']",2,0,1,0,0
110,"['buy', 'at', 'your', 'own', 'risk', 'the', 'camera', 'is', 'terrible', 'on', 'the', 'other', 'hand', 'the', 'battery', 'was', 'great', 'if', 'only', 'there', 'were', 'some', 'way', 'to', 'get', 'this', 'right']",2,0,1,0,0
111,"['why', 'why', 'why', 'the', 'battery', 'was', 'great', 'on', 'the', 'other', 'hand', 'the', 'camera', 'was', 'terrible']",2,0,1,0,0
112,"['why', 'why', 'why', 'the', 'camera', 'is', 'bad', 'on', 'the', 'other', 'hand', 'the', 'battery', 'was', 'good', 'why', 'would', 'people', 'do', 'this']",2,0,1,0,0
113,"['buy', 'at', 'your', 'own', 'risk', 'the', 'battery', 'was', 'good', 'on', 'the', 'other', 'hand', 'the', 'camera', 'was', 'bad', 'but', 'maybe', 'no', 'one', 'cares', 'about', 'anything', 'other', 'than', 'portability']",2,0,1,0,0
114,"['this', 'was', 'a', 'very', 'mixed', 'bag', 'the', 'camera', 'is', 'bad', 'on', 'the', 'other', 'hand', 'the', 'battery', 'was', 'good', 'for', 'some', 'people', 'maybe', 'this', 'is', 'more', 'important']",2,0,1,0,0
115,"['why', 'why', 'why', 'the', 'battery', 'was', 'good', 'on', 'the', 'other', 'hand', 'the', 'camera', 'was', 'bad', 'why', 'would', 'anyone', 'think', 'this', 'should', 'be', 'done']",2,0,1,0,0
116,"['what', 'junk', 'the', 'camera', 'is', 'awful', 'on', 'the', 'other', 'hand', 'the', 'battery', 'was', 'ok', 'if', 'only', 'it', 'were', 'in', 'a', 'good', 'camera']",2,0,0,1,0
117,"['the', 'battery', 'was', 'ok', 'on', 'the', 'other', 'hand', 'the', 'camera', 'was', 'awful', 'unforgivable']",1,1,0,0,0
118,"['the', 'camera', 'is', 'disappointing', 'on', 'the', 'other', 'hand', 'the', 'battery', 'was', 'fine']",2,0,1,0,0
119,"['the', 'battery', 'was', 'fine', 'on', 'the', 'other', 'hand', 'the', 'camera', 'was', 'disappointing']",2,0,1,0,0
